anchor_id,selected_k,split,branch,num_samples,median_response_cosine,q25_response_cosine,contact_mode_purity,matrix
1237,4,train_eps003,2,51,0.9999937828212438,0.9999878642866433,0.5686274509803921,"[[-0.3836889280903408,0.07595191043330778,1.0758720169088125,-0.4385840379944975,-0.5899277058300574,0.6477740108277815],[0.24172712747357325,-0.04520924846870774,-0.6631225582141634,0.2709660591379856,0.35841806018585226,-0.3984585385300345],[0.26561946317014484,-0.051065037692006265,-0.726971089425716,0.2971081199648399,0.3919635892920056,-0.4383416854891959]]"
1237,4,train_eps003,3,64,0.9999912051417148,0.9999744058414295,0.734375,"[[0.7068363283149107,0.3692134210383571,-0.758369714047259,0.34616600988515583,0.7886951912299225,-0.4293088160446383],[-0.42368204530916753,-0.2277012794584957,0.46060036849878544,-0.2085339427736741,-0.4915289110120298,0.2573851199773391],[-0.46768974486403825,-0.24841893814650287,0.5059526444823245,-0.22918663368110614,-0.5356778921976875,0.28402633592762855]]"
1237,4,hold_eps003,0,34,0.8755750927652445,0.5637183440438858,0.6176470588235294,"[[0.008359014637678373,0.004153018472988646,-0.0055652162330667105,0.0011954617218141528,-0.0033029283589129403,-0.0013348912704517595],[0.004986225034422062,5.282994897056703e-05,-0.0010205153954821519,0.0014362438175984872,-0.0026370755367478454,-0.0022947685497866576],[0.004281458717638854,-0.0006159910191983224,-0.00040906377383241436,0.0011299143815687756,-0.0028654739635810608,-0.0026754383485643883]]"
1237,4,hold_eps003,1,30,0.9268261955177233,0.7872854930941803,0.6333333333333333,"[[-0.0038555232289265817,-1.2475847496942894e-05,0.003670403472269048,0.0021074491109223372,0.0008739837550688757,-0.0007537548349722461],[0.011576382191527266,0.0013800965522932805,-0.0053870877040422364,0.0007812341796919778,-0.005295277108965192,-0.003794335216754101],[0.009089089900236316,0.0012750547175357956,-0.004551765029334739,0.0006436768011734749,-0.003781826145231528,-0.002645434543557994]]"
1237,4,hold_eps003,2,13,0.9999936175941131,0.9999671957407169,0.6153846153846154,"[[-0.3836889280903408,0.07595191043330778,1.0758720169088125,-0.4385840379944975,-0.5899277058300574,0.6477740108277815],[0.24172712747357325,-0.04520924846870774,-0.6631225582141634,0.2709660591379856,0.35841806018585226,-0.3984585385300345],[0.26561946317014484,-0.051065037692006265,-0.726971089425716,0.2971081199648399,0.3919635892920056,-0.4383416854891959]]"
1237,4,hold_eps003,3,15,0.9999830940820914,0.9999603657153991,0.6,"[[0.7068363283149107,0.3692134210383571,-0.758369714047259,0.34616600988515583,0.7886951912299225,-0.4293088160446383],[-0.42368204530916753,-0.2277012794584957,0.46060036849878544,-0.2085339427736741,-0.4915289110120298,0.2573851199773391],[-0.46768974486403825,-0.24841893814650287,0.5059526444823245,-0.22918663368110614,-0.5356778921976875,0.28402633592762855]]"
1237,4,hold_eps010,0,46,0.9160431856603454,0.85248240363308,0.717391304347826,"[[0.008359014637678373,0.004153018472988646,-0.0055652162330667105,0.0011954617218141528,-0.0033029283589129403,-0.0013348912704517595],[0.004986225034422062,5.282994897056703e-05,-0.0010205153954821519,0.0014362438175984872,-0.0026370755367478454,-0.0022947685497866576],[0.004281458717638854,-0.0006159910191983224,-0.00040906377383241436,0.0011299143815687756,-0.0028654739635810608,-0.0026754383485643883]]"
1237,4,hold_eps010,1,35,0.9260184466039546,0.8774514654786038,0.7428571428571429,"[[-0.0038555232289265817,-1.2475847496942894e-05,0.003670403472269048,0.0021074491109223372,0.0008739837550688757,-0.0007537548349722461],[0.011576382191527266,0.0013800965522932805,-0.0053870877040422364,0.0007812341796919778,-0.005295277108965192,-0.003794335216754101],[0.009089089900236316,0.0012750547175357956,-0.004551765029334739,0.0006436768011734749,-0.003781826145231528,-0.002645434543557994]]"
1237,4,hold_eps010,2,6,0.999951256427186,0.9999442415914594,0.6666666666666666,"[[-0.3836889280903408,0.07595191043330778,1.0758720169088125,-0.4385840379944975,-0.5899277058300574,0.6477740108277815],[0.24172712747357325,-0.04520924846870774,-0.6631225582141634,0.2709660591379856,0.35841806018585226,-0.3984585385300345],[0.26561946317014484,-0.051065037692006265,-0.726971089425716,0.2971081199648399,0.3919635892920056,-0.4383416854891959]]"
1237,4,hold_eps010,3,5,0.9999768506071073,0.9999286530485423,0.8,"[[0.7068363283149107,0.3692134210383571,-0.758369714047259,0.34616600988515583,0.7886951912299225,-0.4293088160446383],[-0.42368204530916753,-0.2277012794584957,0.46060036849878544,-0.2085339427736741,-0.4915289110120298,0.2573851199773391],[-0.46768974486403825,-0.24841893814650287,0.5059526444823245,-0.22918663368110614,-0.5356778921976875,0.28402633592762855]]"
1375,6,train_eps003,0,66,0.9975013181904109,0.9924811670202001,0.5454545454545454,"[[-0.0550322785799584,-0.02889255874370808,-0.026469954813877834,0.012999378817044351,-0.024456370713787735,0.00714654346624208],[-0.15250048419828663,-0.07605487596346594,-0.12191892404323072,0.0626028772794214,-0.1512977224426111,-0.019238969656584747],[-0.03787059051161218,-0.018468913284390362,-0.03544484683401321,0.018339301006385346,-0.04643777122374111,-0.008958752540122631]]"
1375,6,train_eps003,1,59,0.9962222329149347,0.9927760817284801,0.5084745762711864,"[[-0.033293522507247215,0.06298837312939505,0.008890984506222808,0.01993141167160883,0.059610718111278105,0.03192235660927475],[-0.119111038972417,0.2302078551493556,-0.005073547645330756,0.05887404970459805,0.1875222658532504,0.12149265790743166],[-0.03243251641908503,0.06310203399649232,-0.004420617971383731,0.014989728971180696,0.04892016532838336,0.03372097020456528]]"
1375,6,train_eps003,2,35,,,1.0,"[[0.0007925037925038751,0.0003496917692807096,-0.0005220126204008721,0.00021237457808671002,-0.0003851669372256847,-0.0004911618514035517],[0.001945378163072282,0.0007432115037654421,-0.0008620969378451324,0.0003727308440675306,-0.0009810675945115717,-0.0011620324737837257],[0.00045581331752222754,0.00016237886274960827,-0.00015245890536414816,6.985488955171438e-05,-0.0002331310786037079,-0.000268298740013013]]"
1375,6,train_eps003,3,51,0.9998132971779542,0.9997303616324402,0.5098039215686274,"[[0.030515434418118586,0.014010390684135534,0.019836914078345834,-0.012480528436649336,-0.032255138241985344,0.012877084888116903],[0.15166958230896088,0.07061604329682165,0.08912838878148913,-0.06508881564085249,-0.15761026568130568,0.06302022519557064],[0.04487496434243555,0.02087996165766453,0.025761544413093116,-0.01939737949706712,-0.04629728659354503,0.018532029212478523]]"
1375,6,train_eps003,4,58,0.9999973530208685,0.9999923908363743,0.5172413793103449,"[[0.03537140580490114,-0.009201768307160444,-0.0011260536282768437,0.0006475817148787375,0.004898156061455839,-0.0398495556687428],[0.18726692408701803,-0.0483967157341701,-0.006953897261370165,0.0042434511702865016,0.0276960704508477,-0.21306983779504576],[0.05592581907292786,-0.014453598515003545,-0.002208156494199741,0.0013127885775827998,0.00843065070984107,-0.06382285604801692]]"
1375,6,train_eps003,5,51,0.9984560148393568,0.9953803518502841,0.5490196078431373,"[[-0.009789285987655055,0.0003997150158548974,0.04597070863716337,0.028778735561157304,0.026300111654956295,-0.027482722138775232],[-0.0287906091328521,0.0151399227155827,0.17622252649252093,0.11826048751936195,0.11599243815738135,-0.1309312146996324],[-0.007293774718614203,0.005208857192220299,0.04894037947086557,0.03345039883357336,0.03329629911979088,-0.038364258259159116]]"
