anchor_id,selected_k,variant,split,accuracy,balanced_accuracy,macro_f1,majority_accuracy,chance_balanced_accuracy,status
3833,6,direction_plus_post_contact_oracle,hold_eps010,0.31521739130434784,0.27733972376829524,0.2046112489660877,0.532608695652174,0.16666666666666666,ok
4342,5,direction_deployable,hold_eps003,0.2826086956521739,0.30654600301659124,0.26737114737114737,0.3695652173913043,0.2,ok
4342,5,direction_deployable,hold_eps010,0.22826086956521738,0.18639455782312925,0.1561703996486605,0.532608695652174,0.2,ok
4342,5,post_contact_oracle,hold_eps003,0.31521739130434784,0.2552941176470588,0.154434616304088,0.3695652173913043,0.2,ok
4342,5,post_contact_oracle,hold_eps010,0.391304347826087,0.20244897959183678,0.16209150326797386,0.532608695652174,0.2,ok
4342,5,direction_plus_post_contact_oracle,hold_eps003,0.34782608695652173,0.35672699849170436,0.3218339618339619,0.3695652173913043,0.2,ok
4342,5,direction_plus_post_contact_oracle,hold_eps010,0.30434782608695654,0.16018140589569158,0.1558090558090558,0.532608695652174,0.2,ok
4408,6,direction_deployable,hold_eps003,0.3804347826086957,0.351543451758969,0.3550531045751633,0.31521739130434784,0.16666666666666666,ok
4408,6,direction_deployable,hold_eps010,0.2717391304347826,0.06410256410256411,0.08333333333333333,0.7065217391304348,0.16666666666666666,ok
4408,6,post_contact_oracle,hold_eps003,0.33695652173913043,0.2188697318007663,0.14056883888107516,0.31521739130434784,0.16666666666666666,ok
4408,6,post_contact_oracle,hold_eps010,0.45652173913043476,0.1467948717948718,0.12278244631185808,0.7065217391304348,0.16666666666666666,ok
4408,6,direction_plus_post_contact_oracle,hold_eps003,0.5217391304347826,0.468673807035876,0.4564534338447382,0.31521739130434784,0.16666666666666666,ok
4408,6,direction_plus_post_contact_oracle,hold_eps010,0.40217391304347827,0.17173659673659672,0.17338142804291526,0.7065217391304348,0.16666666666666666,ok
6799,4,direction_deployable,hold_eps003,0.4673913043478261,0.3412878787878788,0.32304857304857304,0.5978260869565217,0.25,ok
6799,4,direction_deployable,hold_eps010,0.4782608695652174,0.27807539682539684,0.23278782894736844,0.782608695652174,0.25,ok
6799,4,post_contact_oracle,hold_eps003,0.6521739130434783,0.3541666666666667,0.29548891129032256,0.5978260869565217,0.25,ok
6799,4,post_contact_oracle,hold_eps010,0.75,0.4256944444444445,0.3074712643678161,0.782608695652174,0.25,ok
6799,4,direction_plus_post_contact_oracle,hold_eps003,0.6956521739130435,0.5837121212121212,0.6040350877192981,0.5978260869565217,0.25,ok
6799,4,direction_plus_post_contact_oracle,hold_eps010,0.6413043478260869,0.5477182539682539,0.42076704545454546,0.782608695652174,0.25,ok
8812,6,direction_deployable,hold_eps003,0.532608695652174,0.48353174603174603,0.45922472589139246,0.22826086956521738,0.16666666666666666,ok
8812,6,direction_deployable,hold_eps010,0.043478260869565216,0.053418803418803416,0.04374201787994891,0.34782608695652173,0.16666666666666666,ok
8812,6,post_contact_oracle,hold_eps003,0.21739130434782608,0.25833333333333336,0.1121504157218443,0.22826086956521738,0.16666666666666666,ok
8812,6,post_contact_oracle,hold_eps010,0.33695652173913043,0.22111742424242423,0.14192532613585246,0.34782608695652173,0.16666666666666666,ok
8812,6,direction_plus_post_contact_oracle,hold_eps003,0.5108695652173914,0.47040343915343913,0.46604977402232634,0.22826086956521738,0.16666666666666666,ok
8812,6,direction_plus_post_contact_oracle,hold_eps010,0.10869565217391304,0.09228098290598291,0.09787037037037037,0.34782608695652173,0.16666666666666666,ok
9664,4,direction_deployable,hold_eps003,0.42391304347826086,0.45740165631469976,0.4109337325970288,0.32608695652173914,0.25,ok
9664,4,direction_deployable,hold_eps010,0.18478260869565216,0.29457671957671955,0.1925428525389248,0.5869565217391305,0.25,ok
9664,4,post_contact_oracle,hold_eps003,0.4673913043478261,0.3913043478260869,0.28480392156862744,0.32608695652173914,0.25,ok
9664,4,post_contact_oracle,hold_eps010,0.5652173913043478,0.37962962962962965,0.274968394437421,0.5869565217391305,0.25,ok
9664,4,direction_plus_post_contact_oracle,hold_eps003,0.5869565217391305,0.5758281573498965,0.5842478842478842,0.32608695652173914,0.25,ok
9664,4,direction_plus_post_contact_oracle,hold_eps010,0.4673913043478261,0.3939153439153439,0.36334513143523506,0.5869565217391305,0.25,ok
9829,3,direction_deployable,hold_eps003,0.7608695652173914,0.3286384976525822,0.28806584362139914,0.7717391304347826,0.3333333333333333,ok
9829,3,direction_deployable,hold_eps010,0.9239130434782609,0.32945736434108525,0.32015065913371,0.9347826086956522,0.3333333333333333,ok
9829,3,post_contact_oracle,hold_eps003,0.8913043478260869,0.6666666666666666,0.5625,0.7717391304347826,0.3333333333333333,ok
9829,3,post_contact_oracle,hold_eps010,0.8043478260869565,0.6124031007751939,0.364403528960491,0.9347826086956522,0.3333333333333333,ok
9829,3,direction_plus_post_contact_oracle,hold_eps003,1.0,1.0,1.0,0.7717391304347826,0.3333333333333333,ok
9829,3,direction_plus_post_contact_oracle,hold_eps010,0.8478260869565217,0.9457364341085271,0.6037974683544304,0.9347826086956522,0.3333333333333333,ok
11030,6,direction_deployable,hold_eps003,0.44565217391304346,0.40066822066822066,0.3998856771019892,0.2717391304347826,0.16666666666666666,ok
11030,6,direction_deployable,hold_eps010,0.29347826086956524,0.1524829213001256,0.1636363636363636,0.33695652173913043,0.16666666666666666,ok
11030,6,post_contact_oracle,hold_eps003,0.33695652173913043,0.3333333333333333,0.15183982683982686,0.2717391304347826,0.16666666666666666,ok
