anchor_id,k,valid,train_objective,train_branch_sizes,fit_median_cosine,selection_median_cosine,selection_q25_cosine,selection_relative_rmse,selection_median_relative_error,selection_signal_fraction,selection_branch_sizes,bic
4342,3,True,0.22065761648662263,"[61,92,87]",0.9999738354591297,0.9999429151122758,0.9997960439798328,0.6540578583248482,0.5415878498515785,0.825,"[24,28,28]",-55.758546401998615
4342,4,True,0.13831338755000538,"[63,54,60,63]",0.999983389297742,0.9999597502111672,0.9998364655992455,0.5211101974246183,0.3045755841630071,0.825,"[18,16,26,20]",-63.728059357568554
4342,5,True,0.09656635789362197,"[53,43,48,52,44]",0.9999848906339583,0.9999816132404897,0.9998443464381881,0.4859268881098255,0.2726079336941473,0.825,"[26,16,15,16,7]",-45.825907699869276
4342,6,True,0.08046216970220166,"[46,32,42,54,20,46]",0.9999843377974271,0.9999624819599079,0.9998893661550797,0.4952640672970138,0.32309444547159344,0.825,"[11,11,13,21,9,15]",14.519843153085503
4408,1,True,0.7338528825939012,[240],,,,1.000049079794564,0.9991584282234467,0.6875,[80],24.384291926492693
4408,2,True,0.48029489649995355,"[153,87]",0.9679403184057767,0.9758558543560644,0.6697860176812459,0.8577468307161065,0.8636353124189449,0.6875,"[59,21]",26.77844111920342
4408,3,True,0.2924245643066405,"[96,73,71]",0.9730823144303582,0.9540782135958756,0.7716843026772413,0.6408633739916211,0.5516899490793005,0.6875,"[37,19,24]",11.824128816321775
4408,4,True,0.21065464309346008,"[58,57,48,77]",0.9791422240710639,0.9806900307495203,0.9217153095393268,0.527579738147419,0.4148209903725716,0.6875,"[16,16,16,32]",37.23945947730135
4408,5,True,0.14930319897489194,"[38,54,24,53,71]",0.9876755317361343,0.9757621072258833,0.9352915958282082,0.4688102099006331,0.3409685746876825,0.6875,"[13,18,7,13,29]",58.75378323167388
4408,6,True,0.11368036846774472,"[33,30,37,30,45,65]",0.994614172261943,0.9822657759563949,0.9600430694353659,0.4328695464034754,0.3294356311817875,0.6875,"[11,5,14,12,11,27]",97.46470539515553
6799,1,True,0.5459000523260993,[240],,,,1.000169272674718,0.9981228803031261,0.6125,[80],-46.62514922181077
6799,2,True,0.33876985338008686,"[71,169]",0.9900229354877539,0.9850472886357373,0.9721699491314229,0.8461085197740952,0.5493901628339805,0.6125,"[24,56]",-57.00059201430639
6799,3,True,0.1733548459566339,"[59,53,128]",0.9936379095358432,0.9900007215091011,0.9732584694480325,0.6827516416189061,0.2818753788831545,0.6125,"[13,25,42]",-113.66373688988932
6799,4,True,0.11521414694139812,"[40,116,36,48]",0.9945603172593251,0.9966299998735629,0.9857748741976605,0.5484714154272886,0.2762950793959339,0.6125,"[17,35,14,14]",-107.58313713718462
6799,5,True,0.07750029711297594,"[16,110,39,43,32]",0.9987683265119918,0.9981621528976046,0.9914756524138865,0.549449643672796,0.20119034948977144,0.6125,"[5,32,15,11,17]",-98.61358334530064
6799,6,True,0.09623036582979425,"[30,91,44,20,34,21]",0.9976682808742953,0.9964489119596922,0.9834060596552079,0.5617831271645781,0.22342695124107637,0.6125,"[11,31,12,7,15,4]",57.469722017146864
8812,1,True,0.9081085300261549,[240],-1.773046097719444e-07,0.999998532929296,-0.9999998504330081,1.0000961445622,0.9951519602877288,0.8625,[80],75.51756916502649
8812,2,True,0.8879663800712689,"[110,130]",0.9999999650574697,0.9999999704966764,0.9999998793168099,0.8641441524025374,0.9449695911064444,0.8625,"[34,46]",174.26650488682455
8812,3,True,0.2530419898721172,"[107,32,101]",0.9999999764856808,0.9999999805944942,0.9999999367703752,0.6586278199546253,0.5263220302408229,0.8625,"[33,15,32]",-22.892180969275614
8812,4,True,0.14591417473778331,"[70,66,77,27]",0.99999997726079,0.9999999842508923,0.9999999468484257,0.5783876556492498,0.465530208456127,0.8625,"[23,18,26,13]",-50.88888260144796
8812,5,True,0.08879709925363918,"[54,55,25,50,56]",0.9999999744169364,0.9999999768801889,0.9999999327256553,0.4348251017304474,0.27343945819497995,0.8625,"[14,20,11,17,18]",-65.95625214509653
8812,6,True,0.054653452445865884,"[40,45,40,40,50,25]",0.9999999795114517,0.9999999833613621,0.9999999304381328,0.3713266856329609,0.23121682856641992,0.8625,"[13,14,14,11,17,11]",-78.30609588566585
9664,1,True,0.9477650080095595,[240],-0.39792782836831486,0.3544133906202729,-0.5984833788584675,1.000291372266377,0.9995621973083022,0.8625,[80],85.7758151878308
9664,2,True,0.7271933406559844,"[105,135]",0.990537118364193,0.9823764937625952,0.8872816030296203,0.8612073642926863,0.9112095253572183,0.8625,"[32,48]",126.32854568175661
9664,3,True,0.41807713813643044,"[93,61,86]",0.9956236898274582,0.9931661103827729,0.9823940197497947,0.7301792579868346,0.6589416363197511,0.8625,"[26,29,25]",97.61434231033613
9664,4,True,0.3612207901203273,"[68,60,60,52]",0.996879405793036,0.9965347019845424,0.9857251293786702,0.5592750611427451,0.5408173288380169,0.8625,"[23,18,23,16]",166.66410310111374
9664,5,True,0.23483354874444654,"[32,20,60,53,75]",0.9969460846116024,0.9956690532295799,0.9889957819321059,0.6241800142124999,0.5798859379748245,0.8625,"[19,7,14,18,22]",167.4492622297468
9664,6,True,0.1458855379342428,"[30,57,66,16,23,48]",0.9976231271200671,0.9971216350707442,0.9919669897484269,0.573730720245997,0.30978569385099264,0.8625,"[11,20,16,9,10,14]",157.32828997671083
9829,1,True,0.25080919852636285,[240],0.9997755583572777,0.9996505975385923,0.9915593256391158,1.000291011438023,0.08454395985533483,1.0,[80],-233.28356997729924
9829,2,True,0.14714811434038508,"[208,32]",0.9998900885805616,0.9997104870556228,0.9982418570241804,0.8546482512698373,0.08344302689858843,1.0,"[71,9]",-257.1321083783772
9829,3,True,0.08589952444005187,"[23,192,25]",0.9999218236554921,0.9999012280436903,0.9995331725664656,0.5624820289419192,0.0781954320859785,1.0,"[9,58,13]",-282.1826969836176
9829,4,True,0.045029277820214805,"[73,119,21,27]",0.9999139925193691,0.999872340634792,0.9992180290971057,0.6557444607299833,0.060144396771476885,1.0,"[18,43,10,9]",-333.0582525601751
9829,5,True,0.034104449529797874,"[54,22,68,26,70]",0.9999214581238041,0.9999321524320144,0.9996165766362597,0.6139959266110283,0.05752405082989504,1.0,"[16,12,23,12,17]",-295.61852163631386
9829,6,True,0.025828285008072882,"[17,61,63,15,16,68]",0.9999182691990907,0.999909438079251,0.999582961698784,0.537992843613031,0.06281946007630917,1.0,"[7,24,18,7,9,15]",-258.1962183255729
11030,1,True,0.583558405161902,[240],0.703209555775484,0.6437452908595989,0.05702745350849175,0.999872728678153,0.8755650048001651,1.0,[80],-30.615076434660153
11030,2,True,0.4212740810701131,"[114,126]",0.9313526776755925,0.8447175754406173,0.23566404320965853,0.9995612082701804,0.6277720341504605,1.0,"[36,44]",-4.689551805399674
11030,3,True,0.2721830224479145,"[47,96,97]",0.9718577574778178,0.9701223532753163,0.8171905224243642,0.7944971285545698,0.4213185824736232,1.0,"[16,36,28]",-5.3915552495011525
11030,4,True,0.1655279154571767,"[43,34,78,85]",0.9858710435626437,0.9841360251478171,0.9006267179800684,0.6227332963276365,0.4272307599305013,1.0,"[12,12,29,27]",-20.61978273291703
11030,5,True,0.11190668665948114,"[65,45,33,64,33]",0.9942372650400406,0.9875377404160708,0.923479997895033,0.6470124504519985,0.362752148965307,1.0,"[18,10,12,21,19]",-10.44151955292898
11030,6,True,0.0770135440678829,"[36,20,68,30,28,58]",0.994306531503867,0.9928148139036392,0.962161489369362,0.4508026794045283,0.2762014268351378,1.0,"[17,4,16,13,11,19]",4.006444190999673
11438,1,True,0.9110039578651878,[240],0.9999394886963634,0.9997654454505144,-0.999887491575675,0.9983859865222399,0.9969534380057782,0.925,[80],76.28157169133534
11438,2,True,0.9155567648802242,"[118,122]",0.9999648403882191,0.9999562056875312,0.9998766174337699,0.9318446854119811,0.9374695924853427,0.925,"[45,35]",181.61014115132036
11438,3,True,0.5413643281287073,"[70,97,73]",0.999996127157896,0.9999962745604387,0.9999835209148532,0.586909251504566,0.5415767077537443,0.925,"[20,38,22]",159.63670958579635
11438,4,True,0.3289253260135088,"[49,42,73,76]",0.9999975572252917,0.9999970639156229,0.9999841478406897,0.5937828382732118,0.5042867639188473,0.925,"[22,13,18,27]",144.18603287090656
11438,5,True,0.1648110659721703,"[34,28,75,35,68]",0.9999993272397742,0.9999990915798844,0.9999961754916797,0.47316499883199997,0.24904064738420223,0.925,"[15,9,21,13,22]",82.47073498493882
11438,6,True,0.09195061837701136,"[22,57,33,47,27,54]",0.9999993311989979,0.9999983676895596,0.9999944012978257,0.4491388998364085,0.22741747190171296,0.925,"[8,16,14,12,11,19]",46.551333663197624
11603,1,True,0.7982489826717879,[240],0.9999997609661697,0.9999995754143506,-0.9999998632669229,1.0011178239513812,0.9945853863144312,0.825,[80],44.57116737947309
11603,2,True,0.5427111591095989,"[144,96]",0.9999999341422385,0.999999875948448,0.9999997892683964,0.8285096117716597,0.7682797935133949,0.825,"[50,30]",56.10091154346924
11603,3,True,0.22364565876670478,"[60,86,94]",0.9999999354031752,0.9999999172622274,0.9999997864879206,0.6705366445194736,0.3490379244004166,0.825,"[29,26,25]",-52.530386723300865
11603,4,True,0.125265695355694,"[61,49,67,63]",0.9999999464329236,0.9999999338232988,0.9999998292224866,0.5900077860671766,0.31914340404375974,0.825,"[16,28,19,17]",-87.50845706462428
11603,5,True,0.08503301630561362,"[49,39,60,41,51]",0.9999999562627926,0.9999999239470565,0.9999998181967754,0.4913384294629997,0.17518695264941847,0.825,"[24,11,12,16,17]",-76.35170219431075
11603,6,True,0.06299878369662094,"[27,37,43,49,35,49]",0.999999965563681,0.9999999538574185,0.9999998535388526,0.3892712800480102,0.13070343392599354,0.825,"[13,11,8,23,11,14]",-44.2013678655112
11882,1,True,0.5319193280334455,[240],,,,1.0004007373117545,0.9991798005037507,0.6,[80],-52.85172502153944
11882,2,True,0.31975965336948436,"[169,71]",0.9960841523009364,0.994207251747371,0.983433483591152,0.839102520404207,0.3313664634190367,0.6,"[58,22]",-70.86091550347663
11882,3,True,0.11173480925999911,"[115,66,59]",0.9955192417229551,0.9950107541716359,0.9762097774429039,0.5840149612896041,0.22986859547697078,0.6,"[35,15,30]",-219.07469783573515
11882,4,True,0.06491026164626935,"[30,114,54,42]",0.9965471623475634,0.996761003357274,0.9873329371319552,0.4708511580655156,0.16418478188610852,0.6,"[10,32,26,12]",-245.2919734780878
11882,5,True,0.04586998947025338,"[113,31,33,24,39]",0.9973994384305457,0.9940514981188364,0.9752102361034687,0.43994823118276677,0.14317560344978636,0.6,"[32,8,11,13,16]",-224.4865491889002
11882,6,True,0.03464839083450799,"[113,31,21,20,30,25]",0.9976857941146806,0.9924207260438949,0.9819672107958988,0.38398109731940533,0.15712544221060448,0.6,"[33,15,8,9,7,8]",-187.68876045927368
12358,1,True,0.7624019467471255,[240],,,,0.9999994900581698,0.9956534301677064,0.675,[80],33.543971052265675
12358,2,True,0.5399259002249485,"[98,142]",0.9999979750111433,0.9999939744493119,0.9984971209696359,0.8139775194660223,0.7267265231858575,0.675,"[26,54]",54.86603120879576
12358,3,True,0.15210935754365462,"[90,58,92]",0.9999989959984006,0.9999982080843302,0.9999895965121355,0.5036164416300873,0.24997667078899666,0.675,"[27,26,27]",-145.04155452420372
12358,4,True,0.07086812572617344,"[54,70,57,59]",0.9999993702986634,0.9999984570844669,0.9999939171455878,0.4112452725853599,0.18200258796845867,0.675,"[19,21,26,14]",-224.21636390679953
12358,5,True,0.046072062993457445,"[58,35,50,40,57]",0.9999994884720691,0.9999987152432029,0.9999925023831571,0.39357388109226643,0.17254670804896327,0.675,"[26,12,15,10,17]",-223.43158636484668
12358,6,True,0.03078238250949755,"[31,57,42,35,41,34]",0.9999995414919891,0.9999991681405094,0.9999972213313192,0.272037568539293,0.11332325820088138,0.675,"[7,26,11,11,11,14]",-216.08286144632336
15071,1,True,0.9854387477870497,[240],0.9999946577538344,0.9999867875293897,-0.9999954547331695,0.9975020226397735,0.9912105331589041,0.85,[80],95.13110675805211
15071,2,True,0.7475108813030497,"[127,113]",0.999997622244821,0.9999977745527624,0.9999864446806366,0.8630289220736181,0.9524784352534368,0.85,"[49,31]",132.94210010859211
15071,3,True,0.561718655245947,"[66,96,78]",0.9999978620229608,0.9999973282788867,0.9999936838176593,0.7816160296009352,0.7080754792575296,0.85,"[33,23,24]",168.49477941629561
15071,4,True,0.28411860196681266,"[51,60,63,66]",0.9999981804829998,0.9999982737682818,0.9999969863980213,0.5722424297214094,0.4694433809019919,0.85,"[30,14,22,14]",109.04067554562852
15071,5,True,0.17934214865408762,"[29,38,43,71,59]",0.9999995291209609,0.9999993524469601,0.9999979006059019,0.6064908347296956,0.4018758286118501,0.85,"[10,20,13,24,13]",102.74969416225201
15071,6,True,0.11175221735006849,"[52,55,41,28,38,26]",0.9999997570466261,0.9999994178482507,0.9999979441684081,0.49798006742376366,0.1781343268004336,0.85,"[17,16,9,9,19,10]",93.35910946727745
15332,1,True,0.7756354131843951,[240],0.2903263206583144,0.22545127790934244,-0.05162573714306017,0.9997031017533584,0.9947358247139737,1.0,[80],37.67405320252207
15332,2,True,0.5853394346371741,"[72,168]",0.7720115880480866,0.6279489380959344,0.08305269899695075,0.838835764277924,0.7993394984975131,1.0,"[16,64]",74.24843139492774
15332,3,True,0.4447613100804448,"[65,71,104]",0.975303785145214,0.9645821142496178,0.5338670650476824,0.7919028593526061,0.5381444782198611,1.0,"[21,21,38]",112.46357429232077
15332,4,True,0.28769963920160924,"[68,54,40,78]",0.9959179866212757,0.9949606109674557,0.919554769688865,0.6154649210970446,0.4329831267349291,1.0,"[20,20,14,26]",112.04673624970303
15332,5,True,0.19111058347673662,"[47,62,36,56,39]",0.9982482851110744,0.9941799683581356,0.958415877057778,0.6179417074358438,0.43162822663158784,1.0,"[14,17,19,21,9]",118.00332742001677
15332,6,True,0.13918083202382617,"[42,36,34,37,47,44]",0.9993538952637184,0.9984294291631898,0.9801393479193784,0.5272647410425982,0.3800930110504095,1.0,"[11,16,7,12,15,19]",146.0367003676302
18559,1,True,1.0151090486682146,[240],0.4031522529724299,-0.615308047491885,-0.7612307223642789,1.003775201786673,0.9983880481250438,0.875,[80],102.2505511403972
18559,2,True,0.888167540007885,"[87,153]",0.9795798073118266,0.9863391843097915,-0.004347841161472715,0.8239857921355852,0.9584745285179015,0.875,"[28,52]",174.32086833819326
18559,3,True,0.6577692913509215,"[81,81,78]",0.9661950565940454,0.9388641889797975,0.628835449748967,0.8413610889427304,0.9133375583004719,0.875,"[26,25,29]",206.37953246251567
18559,4,True,0.4186097810119703,"[59,56,77,48]",0.9875866376685798,0.9753135007997982,0.9020766095737807,0.6633343756875931,0.7156152953774156,0.875,"[23,21,22,14]",202.05205447478252
