variant,feature,coefficient,absolute_coefficient,train_mean,train_scale
X1,obj_linvel_y,-0.44192424732063273,0.44192424732063273,0.12317210304164536,0.06912309535589004
X1,obj_linvel_z,0.23893301458642066,0.23893301458642066,0.037251942672716774,0.03625250195079946
X1,obj_angvel_x,-0.10359428205053219,0.10359428205053219,-1.6698380436955897,1.6255208274729278
X1,obj_angvel_y,-0.5403913419719878,0.5403913419719878,0.3146385192861705,0.6045821839357678
X1,obj_angvel_z,-0.13174682528072507,0.13174682528072507,-1.4026686969709328,1.2433218102094137
X2,arm_qpos_1,-0.014565987226566796,0.014565987226566796,0.1910247197100783,0.04753082798254299
X2,arm_qpos_2,-0.11092879898267331,0.11092879898267331,1.0574158956022823,0.02293406376715869
X2,arm_qpos_3,-0.07251066716839422,0.07251066716839422,-0.43378459651242285,0.0042949471512148795
X2,arm_qpos_4,-0.2215966012174016,0.2215966012174016,0.38505678492433887,0.009031374330147494
X2,arm_qpos_5,0.04902520546561801,0.04902520546561801,0.014928175475420979,0.0036941521525890217
X2,arm_qpos_6,-0.04811224833693684,0.04811224833693684,-0.03142770410597544,0.007943322472684493
X2,arm_qvel_1,-0.18626825473521938,0.18626825473521938,1.1499314866960049,0.18513105988464323
X2,arm_qvel_2,0.38037311345272057,0.38037311345272057,-0.9175943120875779,0.38960476431439733
X2,arm_qvel_3,0.3055809677878445,0.3055809677878445,-0.16578872126581914,0.054711621429462294
X2,arm_qvel_4,0.5360183408545628,0.5360183408545628,-0.36886249367585955,0.14814699653701158
X2,arm_qvel_5,0.4620586289963866,0.4620586289963866,0.14486362568705397,0.024573928246620858
X2,arm_qvel_6,-0.19281631060701937,0.19281631060701937,-0.3139920606113532,0.04924342744367055
X2,obj_pos_x,-0.018884079857645997,0.018884079857645997,0.3058444053372916,0.0031698675462767754
X2,obj_pos_y,0.06410273280709414,0.06410273280709414,0.08397081288892556,0.0073843806604246675
X2,obj_pos_z,0.022453208281558567,0.022453208281558567,0.12106626204160206,0.0013762707704973625
X2,obj_quat_w,0.27451511225982084,0.27451511225982084,0.9968671356008433,0.007753320062370302
X2,obj_quat_x,-0.2444297705314017,0.2444297705314017,-0.025704928422830592,0.03771508095879797
X2,obj_quat_y,-0.20034787320310324,0.20034787320310324,0.0030722387533677464,0.007336720811681256
X2,obj_quat_z,-0.21517372743515034,0.21517372743515034,-0.04353545879941501,0.04641149657066265
X2,obj_linvel_x,-0.17196772232916477,0.17196772232916477,0.02618423532502694,0.021223553026417825
X2,obj_linvel_y,-0.42697005020755,0.42697005020755,0.12317210304164536,0.06912309535589004
X2,obj_linvel_z,0.35810532931144917,0.35810532931144917,0.037251942672716774,0.03625250195079946
X2,obj_angvel_x,-0.1325091695288995,0.1325091695288995,-1.6698380436955897,1.6255208274729278
X2,obj_angvel_y,-0.5347027005157158,0.5347027005157158,0.3146385192861705,0.6045821839357678
X2,obj_angvel_z,-0.25206049398373315,0.25206049398373315,-1.4026686969709328,1.2433218102094137
X2,contact_point_obj_x,-0.16786772771715944,0.16786772771715944,-0.01777272383836086,0.006094299667266385
X2,contact_point_obj_y,-0.7467122489183545,0.7467122489183545,-0.01814365400003197,0.00639118112278289
X2,contact_point_obj_z,-0.07090392741488497,0.07090392741488497,0.017698571614371245,0.005518884824394684
X2,contact_normal_obj_x,-0.35292312149961375,0.35292312149961375,0.30952502326091796,0.1751154023922058
X2,contact_normal_obj_y,-0.3784773220708034,0.3784773220708034,0.6361355377600528,0.2715570900865216
X2,contact_normal_obj_z,0.438600760413525,0.438600760413525,-0.5226970313596279,0.18349305036703367
X2,contact_penetration_max,-0.19066211042252304,0.19066211042252304,0.001511271949418776,0.0008987903912246999
X3,arm_qpos_1,-0.003931368053794212,0.003931368053794212,0.1910247197100783,0.04753082798254299
X3,arm_qpos_2,-0.10647865144469126,0.10647865144469126,1.0574158956022823,0.02293406376715869
X3,arm_qpos_3,-0.06425591658195738,0.06425591658195738,-0.43378459651242285,0.0042949471512148795
X3,arm_qpos_4,-0.21895703088026586,0.21895703088026586,0.38505678492433887,0.009031374330147494
X3,arm_qpos_5,0.059184870568274324,0.059184870568274324,0.014928175475420979,0.0036941521525890217
X3,arm_qpos_6,-0.05806378825359377,0.05806378825359377,-0.03142770410597544,0.007943322472684493
X3,arm_qvel_1,-0.15947474694903602,0.15947474694903602,1.1499314866960049,0.18513105988464323
X3,arm_qvel_2,0.37417996648431745,0.37417996648431745,-0.9175943120875779,0.38960476431439733
X3,arm_qvel_3,0.29854254111670536,0.29854254111670536,-0.16578872126581914,0.054711621429462294
X3,arm_qvel_4,0.5295015718452759,0.5295015718452759,-0.36886249367585955,0.14814699653701158
X3,arm_qvel_5,0.48573914839866744,0.48573914839866744,0.14486362568705397,0.024573928246620858
X3,arm_qvel_6,-0.2176610235747412,0.2176610235747412,-0.3139920606113532,0.04924342744367055
X3,obj_pos_x,-0.01504990814503799,0.01504990814503799,0.3058444053372916,0.0031698675462767754
X3,obj_pos_y,0.07988674756390718,0.07988674756390718,0.08397081288892556,0.0073843806604246675
X3,obj_pos_z,0.02358534535784948,0.02358534535784948,0.12106626204160206,0.0013762707704973625
X3,obj_quat_w,0.27438259034986223,0.27438259034986223,0.9968671356008433,0.007753320062370302
X3,obj_quat_x,-0.24585291859379207,0.24585291859379207,-0.025704928422830592,0.03771508095879797
X3,obj_quat_y,-0.2006793950156736,0.2006793950156736,0.0030722387533677464,0.007336720811681256
X3,obj_quat_z,-0.21802958036285747,0.21802958036285747,-0.04353545879941501,0.04641149657066265
X3,obj_linvel_x,-0.1718429060876324,0.1718429060876324,0.02618423532502694,0.021223553026417825
X3,obj_linvel_y,-0.4265890465411385,0.4265890465411385,0.12317210304164536,0.06912309535589004
X3,obj_linvel_z,0.3588454848845933,0.3588454848845933,0.037251942672716774,0.03625250195079946
X3,obj_angvel_x,-0.1332741462319591,0.1332741462319591,-1.6698380436955897,1.6255208274729278
X3,obj_angvel_y,-0.533960150288813,0.533960150288813,0.3146385192861705,0.6045821839357678
X3,obj_angvel_z,-0.25124467800467226,0.25124467800467226,-1.4026686969709328,1.2433218102094137
X3,contact_point_obj_x,-0.16809360725145525,0.16809360725145525,-0.01777272383836086,0.006094299667266385
X3,contact_point_obj_y,-0.7460400308872396,0.7460400308872396,-0.01814365400003197,0.00639118112278289
X3,contact_point_obj_z,-0.07116662085365183,0.07116662085365183,0.017698571614371245,0.005518884824394684
X3,contact_normal_obj_x,-0.3529315141218957,0.3529315141218957,0.30952502326091796,0.1751154023922058
X3,contact_normal_obj_y,-0.37920045848381906,0.37920045848381906,0.6361355377600528,0.2715570900865216
X3,contact_normal_obj_z,0.4382919824358495,0.4382919824358495,-0.5226970313596279,0.18349305036703367
X3,contact_penetration_max,-0.1903123670032324,0.1903123670032324,0.001511271949418776,0.0008987903912246999
X3,nominal_action_1,-0.11177668516164607,0.11177668516164607,1.3952205882352935,0.2213244454739691
X3,nominal_action_2,0.0,0.0,0.0,1.0
X3,nominal_action_3,0.0,0.0,0.0,1.0
X3,nominal_action_4,0.0,0.0,0.0,1.0
X3,nominal_action_5,0.0,0.0,0.0,1.0
X3,nominal_action_6,0.0,0.0,0.0,1.0
